modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
2092,9,4,2,1,0,2019,36000,1.5,0,46000
1973,49,4,2,1,0,2017,77000,1.0,0,43000
555,9,5,0,2,0,2015,174325,3.0,0,113000
1576,9,4,2,1,0,2017,78482,1.0,0,36000
2036,41,5,0,2,0,2019,69000,2.0,0,114900
1041,41,4,2,1,0,2018,85000,1.8,0,46700
1464,30,5,0,1,0,2018,32985,2.0,0,137000
946,37,4,0,2,5,2016,69000,1.8,0,76900
520,9,4,0,1,0,2015,82000,1.6,0,40000
1852,27,4,2,2,9,2018,51000,1.0,0,44500
552,41,4,0,2,0,2016,56172,1.4,0,39900
181,41,4,2,2,0,2016,102000,1.4,0,46000
369,9,4,2,1,0,2015,71000,1.5,0,39900
1445,27,4,0,2,0,2015,66000,1.8,0,44000
84,19,4,0,2,0,2017,52,2.0,0,81000
1299,44,4,0,2,0,2015,47000,1.6,0,40990
940,45,4,2,2,9,2016,80000,1.6,0,42000
1435,39,4,2,1,9,2017,49900,1.6,0,50000
1653,40,4,0,1,5,2019,14500,1.6,0,89000
2489,49,4,0,2,0,2016,20000,1.6,0,54000
1414,41,4,2,2,9,2015,150,1.8,0,41900
424,27,4,2,2,0,2016,118000,1.4,0,36500
2360,41,4,2,2,5,2019,29500,1.4,0,70000
2360,41,4,2,2,5,2019,50000,1.4,0,70900
318,29,4,0,1,9,2017,80000,1.4,0,89900
229,9,4,2,1,7,2015,80000,1.5,0,35900
995,41,5,0,1,0,2019,43000,2.0,0,135000
1354,37,4,0,1,5,2017,43366,1.5,0,66900
1926,41,4,2,1,7,2015,82000,1.0,0,34000
1151,13,4,0,1,0,2018,40,1.6,0,53500
1114,27,4,2,2,5,2017,70000,1.0,0,48500
1256,19,5,0,1,2,2017,70000,2.0,0,172000
1244,19,4,0,1,7,2018,50000,1.8,0,81500
2240,41,4,0,1,0,2018,30000,1.8,0,89500
1107,27,4,0,1,2,2018,50646,1.4,0,90000
1240,27,4,0,1,7,2018,135000,2.0,0,132000
847,37,4,0,1,9,2016,28000,1.5,0,60000
995,41,5,0,1,2,2019,66,2.0,0,127000
1114,27,4,2,1,0,2016,74000,1.0,0,38990
1743,30,5,0,1,0,2016,115000,2.0,0,98000
526,45,4,2,2,9,2019,80563,1.6,0,55000
1609,41,4,2,2,0,2017,28000,1.4,0,43000
2464,47,6,0,1,0,2018,35000,2.0,0,188000
995,41,5,0,2,2,2017,70000,2.0,0,110000
1698,13,4,0,1,0,2018,49000,1.6,0,59000
673,40,4,2,2,0,2015,78000,1.0,0,35500
84,19,3,0,1,9,2016,60000,2.0,0,80000
1272,41,4,2,2,7,2017,69000,1.4,0,42900
84,19,4,0,2,5,2015,80000,2.0,0,75000
932,27,4,0,1,5,2019,32000,1.4,0,62000
457,45,4,2,1,9,2017,51940,1.6,0,48000
2591,27,4,2,1,0,2019,10000,1.4,0,64500
995,41,5,0,2,5,2019,38000,2.0,0,130000
48,41,4,2,2,2,2015,91000,1.0,0,28800
61,45,4,2,2,0,2015,87000,1.6,0,52900
2057,45,6,2,2,0,2017,74000,1.6,0,42000
2200,27,4,0,1,6,2018,39000,1.8,0,63000
